,Landcover,Class,20140101_20140331,20140401_20140630,20140701_20140930,20141001_20141231,20150101_20150331,20150401_20150630,20150701_20150930,20151001_20151231,20160101_20160331,20160401_20160630,20160701_20160930,20161001_20161231,20170101_20170331,20170401_20170630,20170701_20170930,20171001_20171231,20180101_20180331,20180401_20180630,20180701_20180930,20181001_20181231,20190101_20190331,20190401_20190630,20190701_20190930,20191001_20191231,20200101_20200331,20200401_20200630,20200701_20200930,20201001_20201231,20210101_20210331,20210401_20210630,20210701_20210930,20211001_20211231,20220101_20220331,20220401_20220630,20220701_20220930,20221001_20221231,20230101_20230331,20230401_20230630,20230701_20230930
164,Hutan,1,-0.316986953,-0.36746559,-0.275992234,-0.246702421,-0.237727803,-0.239868038,-0.224699835,-0.16085441,-0.344138495,,-0.392132043,-0.323100095,-0.285490879,-0.399670689,-0.292139095,-0.307501505,-0.336426469,-0.243419387,-0.26822015,-0.282461126,,-0.363796728,-0.227174204,-0.24662449,,-0.420411934,-0.3270965,-0.352090102,,-0.375511214,-0.352602417,-0.403017793,-0.387216199,,-0.332125395,,,-0.395847572,-0.271399034
84,Hutan,1,,-0.24851667,-0.226721208,-0.239507264,-0.484720208,-0.240550267,-0.23673146,-0.24558891,-0.250199423,-0.222574225,-0.233038322,-0.284853111,-0.206925392,-0.235709087,-0.252837164,-0.273510389,-0.239460265,-0.237027736,-0.238100418,-0.240831015,,-0.169754892,-0.231803426,-0.246322565,-0.237934796,-0.23114715,-0.229252259,-0.271347797,,-0.23300276,-0.227595658,-0.276072207,-0.279313977,-0.32377455,-0.234392355,,-0.275125023,-0.253693973,-0.239898858
130,Hutan,1,-0.323310922,-0.282629045,-0.291045545,-0.391326562,-0.367200824,-0.242951805,-0.264430061,-0.302159633,,-0.24180547,-0.242813152,-0.398121703,,-0.277598287,-0.315390286,-0.384953106,,-0.278237546,-0.228945632,-0.317081441,,-0.293696402,-0.26153627,-0.295010312,-0.362669827,,-0.320934677,-0.403456741,-0.321997247,-0.26016161,-0.299640544,-0.399846039,,,-0.324290305,-0.406887596,,-0.254910339,-0.293322274
73,Hutan,1,,-0.26080416,-0.252007912,-0.270010297,-0.308133031,-0.248209935,-0.24034463,-0.256415418,-0.289260051,-0.238112611,-0.252043827,,-0.260957856,-0.2553396,-0.261576723,-0.288896417,,-0.257375872,-0.247698367,-0.254053886,,-0.216619728,-0.231168338,-0.249898066,-0.263475363,-0.250379616,-0.266545118,-0.255193112,,-0.246740208,-0.2642946,,-0.318037957,,-0.257677311,,-0.299210941,-0.281456972,-0.268459597
81,Hutan,1,-0.324957232,-0.310496558,-0.241187952,-0.242118605,-0.519975423,-0.248599054,-0.21810955,-0.268191737,-0.333633567,-0.298212347,-0.283384756,-0.344321655,-0.334013706,-0.257625282,-0.281034284,-0.335748869,,-0.293040861,-0.262297769,-0.305660989,,-0.219228607,-0.229187842,-0.251946692,-0.350704222,-0.276335907,-0.279490751,-0.343419919,,-0.247064743,-0.274827727,-0.308546494,-0.352862409,,-0.243792179,,-0.327338375,-0.269231437,-0.25672275
105,Hutan,1,-0.331778108,-0.286965346,-0.306791842,,-0.287647156,-0.248647741,-0.283205061,-0.289943633,-0.314646541,-0.262609325,-0.284307372,,,-0.263420117,-0.281524715,-0.3669776,,-0.288552984,-0.324344735,-0.360068938,,-0.25189005,-0.285598405,-0.310563724,,-0.259748388,-0.295280385,-0.434196518,,-0.284987593,-0.311219147,,-0.25693116,,-0.255638104,-0.311919646,-0.338517248,-0.292466731,-0.294782433
31,Hutan,1,-0.228151685,-0.260887431,-0.259976286,,-0.543822259,-0.24877457,-0.249640761,,,,,,,-0.514514185,-0.282807543,,-0.274664359,-0.239728098,-0.233100952,-0.270331595,,-0.28093462,-0.258702139,-0.286288872,,-0.212476783,-0.226763381,-0.378600395,,-0.284694225,-0.236340049,,,,-0.23247835,,,-0.288872009,-0.278457898
104,Hutan,1,-0.238775945,-0.268863308,-0.276127523,-0.331792105,-0.307008225,-0.248815476,-0.262963669,-0.266749713,-0.278998088,-0.246769305,-0.266608961,-0.289413294,-0.2443076,-0.273504017,-0.278328226,-0.248977007,,-0.278526953,-0.298508515,-0.307254048,,-0.260011519,-0.274304586,-0.279536467,-0.279397704,-0.263530744,-0.305016062,-0.466453975,-0.286647796,-0.284813519,-0.300214338,,-0.289886662,,-0.287602385,-0.296892913,-0.348417566,-0.312740538,-0.284720095
116,Hutan,1,-0.30632523,-0.268023953,-0.284096923,-0.291447448,,-0.249639715,-0.28776607,,-0.308316946,-0.165598677,-0.288065576,,,-0.294932667,-0.275069634,,,-0.244708041,-0.287429517,-0.29982553,,-0.261130697,-0.28518512,,,,-0.278385723,-0.434727793,,-0.286599012,-0.312105892,,-0.314070364,,-0.256502679,,-0.334836458,-0.312137305,-0.317773282
41,Hutan,1,-0.233107367,,-0.271291241,,-0.465381946,-0.253069135,-0.264081601,,,-0.209392407,,,,-0.475871086,-0.2318098,,-0.292893276,-0.232801258,-0.252028436,-0.251388853,,-0.201650433,-0.273365155,-0.297296163,,-0.217335475,-0.2671518,-0.31708835,,-0.285340497,-0.225860946,,-0.260351213,,-0.259644037,,,-0.27725231,-0.266910547
