,Landcover,Class,20140101_20140331,20140401_20140630,20140701_20140930,20141001_20141231,20150101_20150331,20150401_20150630,20150701_20150930,20151001_20151231,20160101_20160331,20160401_20160630,20160701_20160930,20161001_20161231,20170101_20170331,20170401_20170630,20170701_20170930,20171001_20171231,20180101_20180331,20180401_20180630,20180701_20180930,20181001_20181231,20190101_20190331,20190401_20190630,20190701_20190930,20191001_20191231,20200101_20200331,20200401_20200630,20200701_20200930,20201001_20201231,20210101_20210331,20210401_20210630,20210701_20210930,20211001_20211231,20220101_20220331,20220401_20220630,20220701_20220930,20221001_20221231,20230101_20230331,20230401_20230630,20230701_20230930
37,Hutan,1,0.187252146,0.21268339,0.215371536,,0.003782737,0.219747101,0.216847233,,0.187283371,0.212580946,0.207513118,,,0.052733574,0.215112639,0.240743051,,0.23424464,0.218431162,0.215180519,,0.221002654,0.221672934,0.211213643,,0.210314961,0.232888983,0.12244445,,0.239521444,0.243437132,,0.198300529,,0.204055002,,,0.246174133,0.227465947
38,Hutan,1,0.18047936,,0.190102641,,-0.001344682,0.22403157,0.222843577,0.201928031,,0.211720798,,,0.20461971,0.230714368,0.211878898,0.200922109,0.216679823,0.245399139,0.230992222,0.194384676,,0.211994528,0.222881725,0.184443116,,0.215479393,0.219981102,0.094585347,,0.231223893,0.217072616,,0.181260752,,0.208845819,,,0.214601254,0.220632929
39,Hutan,1,0.207722182,,0.200117854,,-0.000569714,0.190911576,0.207205264,,0.19432966,0.19405692,0.190889047,,0.2225274,0.203932985,0.200425727,,0.201634194,0.198637206,0.192580895,0.215875398,,0.164630909,0.202843525,0.202956411,,0.199542555,0.205825909,0.06985966,,0.225893535,0.161672893,,0.190611716,,0.176280208,,,0.228986297,0.207986805
40,Hutan,1,0.187083972,,0.210118621,,-0.004026006,0.207616829,0.207650069,0.20833782,0.17615232,0.205160446,,,0.219387887,0.066939626,0.210576359,0.224977416,0.214392773,0.200441143,0.196042231,0.213194652,,0.192535895,0.223820382,0.196419255,,0.163421219,0.222047359,0.041922511,,0.213444308,0.228851975,,0.203291298,,0.236929948,,0.11060977,0.237009045,0.213403491
41,Hutan,1,0.161839802,,0.18503032,,-0.004001498,0.168339529,0.168449522,,,0.158333734,,,,0.053634133,0.16239242,,0.188393499,0.158900965,0.177122962,0.175595471,,0.139611821,0.183595761,0.208418356,,0.158334979,0.179563177,0.084642134,,0.1866246,0.148063714,,0.171732596,,0.166560631,,,0.216541223,0.178336489
42,Hutan,1,0.165280073,,0.157988626,,0.065985681,0.190222637,0.197808731,,,0.188785264,,,,0.0553363,0.182265811,,0.180101491,0.182553241,0.177326882,0.17308592,,0.165612124,0.198224708,0.173054736,,0.174676998,0.193978541,0.075180569,,0.190321429,0.201007883,0.187985674,0.18317052,,0.181302041,,,0.223767312,0.207295095
43,Hutan,1,0.175675775,0.235811035,0.196713303,,0.02226394,0.239114356,0.223691219,,,0.236415337,0.206389903,,,-0.023398509,0.201594611,,0.210150915,0.246351934,0.210556899,0.193323765,,0.214721297,0.221795667,0.176644305,,0.219572111,0.217559771,0.054290311,,0.249009006,0.204668435,,0.196532948,,0.231513248,,,0.304939217,0.228261738
44,Hutan,1,0.202658941,0.208302137,0.17857147,,0.008033833,0.195643618,0.199399098,,,,0.186397283,,,0.000607694,0.205883129,,0.196124544,0.194250359,0.197544909,0.214375689,,,0.192923974,,,0.213805075,0.196400802,0.0771506,,0.1987926,,,0.205614081,,0.171789411,,,,0.199152956
45,Hutan,1,0.192261074,,0.186017366,,0.002306527,0.219479572,0.224847621,,,,0.142768018,,,0.087401144,0.213606528,,0.202562503,0.212536132,0.219311104,0.203043091,,0.208048796,0.204819639,0.183846103,,0.226570521,0.232402187,0.092515289,,0.222340588,0.20948343,,,,0.191861623,,,,0.215137946
46,Hutan,1,0.153944996,0.153924994,0.17079273,,,0.188358759,0.190538425,,,,0.175323658,,,0.009974044,0.185828617,,0.171137143,0.193888751,0.168297463,0.181768127,,0.174803956,0.170107336,0.161590417,,0.196097512,0.197673761,0.034156937,,0.179394779,0.173837428,,,,0.175384264,,,0.213248048,0.175061205
47,Hutan,1,0.231366347,0.302427908,0.302766707,,0.05670157,0.30332932,0.262485378,0.26034159,,,,,0.284418079,0.306105851,0.274511253,0.258765693,0.235918087,0.274080121,0.303745886,0.246089516,,0.286718472,0.306544673,0.240028309,,,0.312182964,0.045840735,,0.279218774,0.281641254,,0.247918712,,0.268351167,,0.226357999,,0.300963627
48,Hutan,1,0.204273028,0.21305508,0.224169718,,0.013239933,0.218668517,0.212034997,,,,0.195900851,,0.22751285,0.100314603,0.210802632,,0.211476054,0.214016934,0.220972175,0.226933164,,0.188585427,0.212075642,,,,0.221572877,0.051147023,,0.214888677,0.218790905,,,,0.218492109,,0.225642342,0.227239445,0.211752174
