Class,Lat,Lon,2013_0106,2013_0609,2013_0912,2014_0103,2014_0306,2014_0609,2014_0912,2015_0103,2015_0306,2015_0609,2015_0912,2016_0103,2016_0306,2016_0609,2016_0912,2017_0103,2017_0306,2017_0609,2017_0912,2018_0103,2018_0306,2018_0609,2018_0912,2019_0103,2019_0306,2019_0609,2019_0912,2020_0103,2020_0306,2020_0609,2020_0912,2021_0103,2021_0306,2021_0609,2021_0912,2022_0103,2022_0306,2022_0609
1,9187186.203,382974.8529,0.42926,0.35615,0.37261,0.38722,0.26624,0.20894,0.29932,0.27858,0.23549,0.2351,0.24928,0.33868,0.25153,nan,0.25942,0.12604,0.18783,0.22588,nan,nan,0.17255,0.19434,nan,0.20557,0.14392,0.16872,0.16872,0.21197,0.21197,0.22157,0.21581,nan,nan,0.19886,nan,0.22512,0.23583,nan
1,9184026.447,391092.3181,0.56351,0.52687,0.51754,0.62736,0.6058,0.55525,0.52658,0.55463,0.50689,0.55263,0.58698,0.66258,0.55308,0.61652,0.48201,0.25984,0.57141,0.61232,nan,nan,0.51426,0.427,nan,0.53032,0.45167,0.46001,0.46001,0.56644,0.56644,0.4922,nan,nan,nan,0.47484,0.53681,0.49137,nan,0.51095
1,9191123.762,379868.6626,0.36267,0.29975,0.35433,0.42017,0.5197,0.32237,0.32273,0.35602,0.37402,0.26807,0.37302,0.36544,0.3337,nan,0.39918,0.14861,0.37053,0.3587,0.34393,0.36819,0.37246,0.35394,0.36485,0.38808,0.40925,0.23841,0.27513,0.42629,0.42629,0.36953,0.37898,0.39475,0.45972,0.37725,nan,0.39429,0.44531,0.42416
1,9191415.388,379865.3711,0.44101,0.36722,0.36928,0.41702,0.47334,0.38027,0.39576,0.41633,0.35409,0.37393,0.34682,0.4014,0.35914,nan,0.38947,0.14798,0.3353,0.31614,0.3546,0.32295,0.29753,0.27955,0.45041,0.31401,0.25018,0.24183,0.26723,0.34225,0.34225,0.29046,0.27551,0.40351,0.33765,0.31331,nan,0.31403,nan,nan
1,9185852.398,381344.2854,0.22297,0.21783,0.16614,0.24346,0.19617,0.27046,0.24341,0.19794,0.22977,0.21757,0.21419,0.26796,nan,0.33204,0.3024,0.15252,0.17777,0.25692,0.20909,0.20623,0.2392,0.16833,0.19282,0.1996,0.19217,0.147,0.14658,0.15289,0.15289,0.20343,nan,0.23463,nan,0.16854,nan,0.22324,0.24099,0.20892
1,9185592.21,381685.4112,0.64018,0.65373,0.6058,0.58266,0.5654,0.62134,0.51255,0.54654,0.56135,0.44921,0.48561,0.58953,0.57516,0.62717,nan,0.17187,0.52743,0.51076,0.45673,0.50851,0.55453,0.50358,nan,0.54337,0.49852,0.44209,0.43578,0.47921,0.47921,0.48704,0.48927,0.45063,nan,0.41646,nan,0.40994,0.48935,0.45871
1,9186824.597,377802.1105,0.30053,0.26139,0.22887,0.41789,0.25949,0.2443,0.30072,0.22113,0.30093,0.25159,0.31417,0.3104,0.35497,nan,0.35728,0.12778,0.2514,0.29245,0.24809,0.31373,0.25222,0.18359,nan,0.24652,0.23142,0.17844,0.17528,0.22938,0.22938,0.25753,0.16721,0.32227,0.3043,0.26498,nan,0.28313,0.27059,0.26326
1,9179763.36,381542.9217,0.25643,0.23422,0.16828,0.34293,0.24176,0.25059,0.24203,0.24363,0.29692,0.23262,0.25085,0.3093,nan,0.29892,0.31076,0.13716,0.22378,0.26251,0.25799,0.24953,0.23043,0.19527,0.20482,0.24249,0.25793,0.20524,0.15793,0.23795,0.23795,0.26133,0.26928,0.24531,nan,0.24718,0.28311,0.25499,0.286,0.23029
1,9195897.637,385920.7121,0.30035,0.20311,0.24161,0.25142,nan,0.23027,0.19341,0.23735,0.24054,0.16437,0.18489,0.21551,0.24691,nan,nan,nan,0.24561,0.28646,nan,nan,0.22622,0.16089,0.20104,0.19972,0.14236,0.13397,0.14375,0.20359,0.20359,0.1682,0.24075,0.41654,nan,0.21176,nan,0.24743,0.34259,nan
1,9163411.133,390525.2549,0.46213,0.37305,0.32349,0.45183,0.49141,0.47347,0.40522,0.43081,0.463,0.37488,0.39407,0.46524,0.44243,0.42423,nan,0.29968,0.47852,0.39142,0.37495,0.38273,0.36014,0.35409,0.31698,0.39422,0.36744,0.34154,0.31033,0.38271,0.38271,0.33002,0.39447,0.39092,0.37909,0.36332,0.43462,0.38638,0.40115,0.40452
1,9162150.559,390248.9836,0.63002,0.42734,0.39633,0.61049,0.6163,0.55754,0.44088,0.61666,0.61783,0.48587,0.40807,0.63989,0.66471,0.63741,nan,0.1028,0.56505,0.56735,nan,0.65094,0.64303,0.60151,nan,0.62063,0.59548,0.46923,0.46623,0.67038,0.67038,0.59226,0.59367,0.62359,0.64148,0.59322,0.5995,0.60941,nan,0.60748
1,9187675.687,392377.7597,0.44773,0.35251,0.35016,0.34997,0.40542,0.42702,0.3677,0.42494,0.41413,0.33929,0.38286,0.44315,nan,0.40342,0.43694,0.19823,0.39069,0.44387,nan,0.35056,0.20764,0.28891,nan,0.38004,0.34382,0.32728,0.32598,0.41045,0.41045,nan,0.38626,0.45127,nan,0.27844,nan,0.33253,nan,0.40958
1,9185061.862,392014.3176,0.47702,0.37096,0.38922,0.5463,0.41368,0.44616,0.39687,0.47835,0.48378,0.35913,0.38126,0.53666,nan,0.36492,0.42347,0.08616,0.41488,0.43029,0.42793,0.38305,0.42607,0.33836,0.30231,0.3687,0.41588,0.29821,0.28663,0.35825,0.35825,nan,nan,0.29736,nan,0.30538,nan,0.29637,0.35511,0.27504
1,9188948.456,379569.995,0.22304,0.24555,0.19606,0.32063,0.34568,0.23318,0.32141,0.21967,0.26217,0.26061,0.26317,0.2882,0.2041,0.14215,0.25579,0.23737,0.2128,0.23916,nan,0.23785,0.21814,0.20371,0.22552,0.2989,0.21963,0.194,0.19818,0.18463,0.18463,0.18399,0.17831,nan,0.34566,0.20642,nan,0.30579,0.27547,0.31226
1,9176430.742,378828.6799,0.5941,0.57162,0.45496,0.59717,0.64194,0.5477,0.52188,0.58155,0.60825,0.47778,0.52472,0.61406,0.64992,0.55583,nan,0.33705,0.54895,0.57065,0.4738,0.5267,0.57147,0.57363,0.44073,0.53072,0.5773,0.51997,0.53077,0.63344,0.63344,0.59887,0.55538,0.60579,0.60795,0.60974,0.61921,0.55628,0.63284,0.60001
