Class,Lat,Lon,2013_0106,2013_0609,2013_0912,2014_0103,2014_0306,2014_0609,2014_0912,2015_0103,2015_0306,2015_0609,2015_0912,2016_0103,2016_0306,2016_0609,2016_0912,2017_0103,2017_0306,2017_0609,2017_0912,2018_0103,2018_0306,2018_0609,2018_0912,2019_0103,2019_0306,2019_0609,2019_0912,2020_0103,2020_0306,2020_0609,2020_0912,2021_0103,2021_0306,2021_0609,2021_0912,2022_0103,2022_0306,2022_0609
1,9183897.92,384641.7366,-0.21612,-0.28056,-0.25648,-0.19485,-0.31412,-0.31668,-0.28402,-0.34558,-0.3202,-0.32389,-0.31382,-0.25915,-0.26169,-0.31519,-0.27168,0.06244,-0.33376,-0.30372,-0.3032,-0.30243,-0.31678,-0.31781,nan,-0.2831,-0.35392,-0.37058,-0.34847,-0.33483,-0.33483,nan,nan,-0.24894,nan,-0.3471,-0.22289,-0.27616,-0.19736,-0.30391
1,9187362.201,383204.6557,-0.32483,-0.29377,-0.29347,-0.25232,-0.26381,-0.33442,-0.32615,-0.10251,-0.30829,-0.33634,-0.30281,-0.26922,-0.2842,nan,-0.16597,0.1057,-0.38643,-0.3295,-0.30763,-0.25174,-0.34333,-0.33589,-0.39048,-0.38708,-0.37374,-0.34232,-0.347,-0.35832,-0.35832,nan,-0.21848,nan,-0.69215,-0.33182,nan,-0.31472,-0.30486,-0.30316
1,9187186.203,382974.8529,-0.37946,-0.32784,-0.3337,-0.19683,-0.35283,-0.31588,-0.25578,-0.30322,-0.31927,-0.31178,-0.30888,-0.27819,-0.26732,nan,-0.2454,0.0659,-0.28808,-0.32776,nan,nan,-0.27989,-0.29309,nan,-0.27329,-0.37637,-0.30509,-0.30509,-0.32252,-0.32252,-0.34233,-0.29677,nan,nan,-0.3685,nan,-0.33038,-0.32694,nan
1,9184026.447,391092.3181,-0.30142,-0.30354,-0.29095,-0.27058,-0.27801,-0.31619,-0.29779,-0.24555,-0.33286,-0.29866,-0.26565,-0.30265,-0.16769,-0.3098,-0.12281,-0.01742,-0.28617,-0.31282,nan,nan,-0.28711,-0.2767,nan,-0.23044,-0.23567,-0.29308,-0.29308,-0.25009,-0.25009,-0.17311,nan,nan,nan,-0.2701,-0.21109,-0.25465,nan,-0.27483
1,9191123.762,379868.6626,-0.19389,-0.23201,-0.11755,-0.13905,-0.16734,-0.26363,-0.13865,-0.24577,-0.19592,-0.22322,-0.20329,-0.20196,0.03514,nan,-0.13799,0.14047,-0.18867,-0.22455,-0.14025,-0.19113,-0.17232,-0.19711,-0.07298,-0.18721,-0.28801,-0.21365,-0.20805,-0.21827,-0.21827,-0.22723,-0.18584,-0.09719,-0.21499,-0.20655,nan,-0.15387,-0.25737,-0.19832
1,9191415.388,379865.3711,-0.40259,-0.3492,-0.34057,-0.27671,-0.33474,-0.38655,-0.29301,-0.42801,-0.3873,-0.33007,-0.26512,-0.33982,-0.17832,nan,-0.30154,0.09024,-0.38271,-0.3327,-0.31275,-0.27728,-0.30261,-0.32873,-0.21642,-0.35006,-0.32645,-0.32812,-0.3234,-0.33173,-0.33173,-0.305,-0.34815,-0.14295,-0.20882,-0.28046,nan,-0.28296,nan,nan
1,9185852.398,381344.2854,-0.28198,-0.25101,-0.29096,-0.23014,-0.34182,-0.3386,-0.25181,-0.33478,-0.29693,-0.32454,-0.29193,-0.27787,nan,-0.13036,-0.26599,0.08999,-0.32167,-0.35016,-0.33028,-0.31251,-0.35314,-0.28209,-0.30796,-0.21762,-0.34925,-0.35015,-0.33874,-0.35271,-0.35271,-0.30475,nan,-0.33844,nan,-0.34196,nan,-0.29115,-0.28595,-0.34855
1,9185592.21,381685.4112,-0.23264,-0.23291,-0.20558,-0.12434,-0.23751,-0.24156,-0.20859,-0.25736,-0.21831,-0.21191,-0.25074,-0.2568,-0.23144,-0.21056,nan,0.11998,-0.24641,-0.24463,-0.12708,-0.16022,-0.24091,-0.27282,nan,-0.26007,-0.27807,-0.27785,-0.27542,-0.26872,-0.26872,-0.19109,-0.23055,-0.23639,nan,-0.29702,nan,-0.19793,-0.25292,-0.27507
1,9186824.597,377802.1105,-0.36634,-0.36087,-0.33577,-0.24454,-0.41719,-0.39425,-0.35449,-0.34059,-0.34217,-0.33015,-0.38826,-0.35985,-0.36056,nan,-0.36322,0.09567,-0.42293,-0.36281,-0.38324,-0.31393,-0.34955,-0.30856,nan,-0.38402,-0.38144,-0.3382,-0.33773,-0.35407,-0.35407,-0.34063,-0.35736,-0.27955,-0.33211,-0.36373,nan,-0.27232,-0.32852,-0.31537
1,9179763.36,381542.9217,-0.40989,-0.34312,-0.34644,-0.20088,-0.41329,-0.37891,-0.33541,-0.43947,-0.36474,-0.33087,-0.3392,-0.33877,nan,-0.39571,-0.31989,0.03649,-0.38072,-0.36729,-0.37448,-0.34474,-0.39583,-0.34179,-0.34773,-0.35868,-0.34825,-0.3562,-0.34728,-0.36774,-0.36774,-0.39798,-0.35779,-0.32938,nan,-0.40552,-0.27918,-0.33305,-0.33266,-0.31324
1,9195897.637,385920.7121,-0.41375,-0.38623,-0.39532,-0.39567,nan,-0.39173,-0.35073,-0.40407,-0.41193,-0.36653,-0.36034,-0.34947,-0.33273,nan,nan,nan,-0.38754,-0.32325,nan,nan,-0.26083,-0.32997,-0.34415,-0.33944,-0.4128,-0.35369,-0.35248,-0.39404,-0.39404,-0.41892,-0.35502,-0.15157,nan,-0.38916,nan,-0.25178,-0.04194,nan
1,9163411.133,390525.2549,-0.41004,-0.39681,-0.39389,-0.3085,-0.33966,-0.386,-0.36997,-0.36693,-0.41228,-0.37411,-0.34972,-0.37985,-0.35524,-0.42854,nan,-0.07905,-0.44013,-0.35433,-0.37803,-0.38258,-0.32688,-0.36332,-0.32675,-0.34569,-0.36207,-0.3771,-0.34775,-0.3683,-0.3683,-0.38033,-0.32052,-0.37099,-0.38644,-0.41412,-0.36572,-0.37794,-0.39514,-0.36578
1,9162150.559,390248.9836,-0.4085,-0.4177,-0.37807,-0.31295,-0.37984,-0.4044,-0.41765,-0.43912,-0.37545,-0.4086,-0.39547,-0.38565,-0.37758,-0.33951,nan,0.16939,-0.48111,-0.41389,nan,-0.43777,-0.39496,-0.41596,nan,-0.42314,-0.44235,-0.41325,-0.42318,-0.42903,-0.42903,-0.37033,-0.37142,-0.39844,-0.397,-0.4091,-0.37789,-0.42504,nan,-0.44161
1,9187675.687,392377.7597,-0.33227,-0.26687,-0.30766,-0.10271,-0.34112,-0.3295,-0.30005,-0.34542,-0.36434,-0.28861,-0.27882,-0.26681,nan,-0.31664,-0.12435,0.05838,-0.31109,-0.30106,nan,-0.3055,-0.24159,-0.24092,nan,-0.29374,-0.35502,-0.32216,-0.3449,-0.35262,-0.35262,nan,-0.36157,-0.14863,nan,-0.30102,nan,-0.23995,nan,-0.27089
1,9185061.862,392014.3176,-0.28094,-0.2572,-0.28877,-0.22991,-0.2649,-0.26239,-0.26011,-0.32252,-0.24955,-0.21966,-0.23324,-0.23034,nan,-0.26067,-0.17278,0.1904,-0.2952,-0.21157,-0.26776,-0.20737,-0.268,-0.23593,-0.25447,-0.25782,-0.23542,-0.25378,-0.2455,-0.18404,-0.18404,nan,nan,-0.16303,nan,-0.21559,nan,-0.17003,-0.24973,-0.20052
1,9188948.456,379569.995,-0.33177,-0.32239,-0.34294,-0.25298,-0.30937,-0.38154,-0.29709,-0.35186,-0.35943,-0.34956,-0.29034,-0.2939,-0.29446,-0.28719,-0.26355,-0.26199,-0.33866,-0.32222,nan,-0.29879,-0.27924,-0.31531,-0.1912,-0.26413,-0.32399,-0.34609,-0.33349,-0.31913,-0.31913,-0.31335,-0.35854,nan,-0.15438,-0.29579,nan,-0.29514,-0.28487,-0.12811
1,9176430.742,378828.6799,-0.34955,-0.33135,-0.30496,-0.22543,-0.2776,-0.32895,-0.32787,-0.32587,-0.29965,-0.33862,-0.28041,-0.31479,-0.23013,-0.35391,nan,-0.03376,-0.22098,-0.28916,-0.28757,-0.20706,-0.30851,-0.35689,-0.29952,-0.27427,-0.31108,-0.35994,-0.2965,-0.3545,-0.3545,-0.36641,-0.20708,-0.33224,-0.35598,-0.40859,-0.3039,-0.30246,-0.36556,-0.34114
1,9185042.109,387417.1539,-0.26574,-0.24668,-0.23356,-0.06524,-0.31032,-0.32201,-0.26171,-0.30016,-0.29121,-0.24935,-0.27887,-0.24183,nan,-0.29405,-0.19959,0.05987,-0.24936,-0.27978,nan,-0.29572,-0.25225,-0.25935,-0.27509,-0.25347,-0.30176,-0.27156,-0.27156,-0.2887,-0.2887,-0.31717,-0.26184,-0.06827,nan,-0.29436,nan,-0.25719,-0.16498,-0.1491
